Overall score	Negative	Neutral	Positive
-0.3818	0.178	0.822	0.0
0.5859	0.0	0.743	0.257
0.6369	0.0	0.819	0.181
0.3182	0.0	0.796	0.204
-0.5859	0.128	0.872	0.0
0.3612	0.0	0.8	0.2
-0.0772	0.098	0.82	0.082
0.0	0.0	1.0	0.0
-0.2732	0.231	0.769	0.0
0.7579	0.0	0.712	0.288
0.8126	0.0	0.691	0.309
-0.6249	0.339	0.661	0.0
0.4215	0.0	0.781	0.219
0.128	0.064	0.831	0.105
0.6705	0.043	0.774	0.183
-0.1027	0.167	0.833	0.0
0.6249	0.044	0.764	0.193
0.0	0.0	1.0	0.0
0.4019	0.0	0.769	0.231
-0.7845	0.568	0.432	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
-0.1695	0.143	0.857	0.0
-0.743	0.512	0.488	0.0
0.1531	0.135	0.71	0.155
-0.5994	0.189	0.811	0.0
0.0	0.0	1.0	0.0
0.0	0.153	0.694	0.153
0.0	0.147	0.707	0.147
0.0	0.0	1.0	0.0
0.4939	0.0	0.556	0.444
-0.3182	0.223	0.777	0.0
-0.8555	0.363	0.637	0.0
0.4939	0.0	0.652	0.348
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.3818	0.082	0.76	0.158
-0.7783	0.262	0.738	0.0
0.128	0.0	0.889	0.111
-0.296	0.216	0.784	0.0
-0.1531	0.191	0.662	0.147
0.0	0.0	1.0	0.0
-0.6608	0.192	0.808	0.0
-0.8256	0.41	0.415	0.174
-0.6249	0.298	0.702	0.0
0.5667	0.105	0.674	0.221
-0.34	0.231	0.769	0.0
0.8008	0.054	0.747	0.198
0.0	0.0	1.0	0.0
-0.872	0.664	0.336	0.0
0.0	0.0	1.0	0.0
0.0	0.0	1.0	0.0
0.0772	0.0	0.822	0.178
0.836	0.0	0.36	0.64
0.0	0.0	1.0	0.0
